date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:45	64/64	---M--	200	added ('OK')	text/plain	etag:%2240-5d91a531d79c2%22	https://dennissnellenberg.com/robots.txt		(from )
11:53:45	38553/38553	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:53:44%20GMT	https://dennissnellenberg.com/	C:/My%20Web%20Sites/Website/dennissnellenberg.com/index.html	(from )
11:53:46	7772/7772	---M--	200	added ('OK')	text/css	etag:%221e5c-5d9ca3289c2d0%22	https://dennissnellenberg.com/assets/css/normalize.css	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/css/normalize.css	(from https://dennissnellenberg.com/)
11:53:47	1664/1664	---M--	200	added ('OK')	text/css	etag:%22680-5d9ca328b3db7%22	https://dennissnellenberg.com/assets/css/locomotive-scroll.css	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/css/locomotive-scroll.css	(from https://dennissnellenberg.com/)
11:53:49	28166/28166	---M--	200	added ('OK')	text/css	etag:%226e06-5dedfca89ffd2%22	https://dennissnellenberg.com/assets/css/styleguide.css	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/css/styleguide.css	(from https://dennissnellenberg.com/)
11:53:49	2544/2544	---M--	200	added ('OK')	text/css	etag:%229f0-5d9ca32880d50%22	https://dennissnellenberg.com/assets/css/components.css	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/css/components.css	(from https://dennissnellenberg.com/)
11:53:51	75864/75864	---M--	200	added ('OK')	text/css	etag:%2212858-5dedfce7035f3%22	https://dennissnellenberg.com/assets/css/style-new.css	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/css/style-new.css	(from https://dennissnellenberg.com/)
11:53:52	70149/70149	---M--	200	added ('OK')	image/jpeg	etag:%2211205-5df727ca229f5%22	https://dennissnellenberg.com/media/pages/work/future-goals/3eafae1c56-1653057688/thumbnail-futuregoals-810x810-crop-q72.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/future-goals/3eafae1c56-1653057688/thumbnail-futuregoals-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
11:53:53	39508/39508	---M--	200	added ('OK')	image/jpeg	etag:%229a54-5df72619312c6%22	https://dennissnellenberg.com/media/pages/work/chainn/3b2965a4d4-1646837292/thumbnail-chainn-810x810-crop-q72.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/chainn/3b2965a4d4-1646837292/thumbnail-chainn-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
11:53:54	44791/44791	---M--	200	added ('OK')	image/jpeg	etag:%22aef7-5df7261961c1e%22	https://dennissnellenberg.com/media/pages/work/atypikal/772a7bc7f2-1646837277/thumbnail-atypikal-810x810-crop-q72.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/atypikal/772a7bc7f2-1646837277/thumbnail-atypikal-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
11:53:55	28384/28384	---M--	200	added ('OK')	image/jpeg	etag:%226ee0-5df72619919bd%22	https://dennissnellenberg.com/media/pages/work/micdrop-agency/f49041aa3c-1646837247/thumbnail-micdrop-810x810-crop-q72.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/micdrop-agency/f49041aa3c-1646837247/thumbnail-micdrop-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
11:53:56	47831/47831	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:53:55%20GMT	https://dennissnellenberg.com/work	C:/My%20Web%20Sites/Website/dennissnellenberg.com/work.html	(from https://dennissnellenberg.com/)
11:53:57	33351/33351	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:53:56%20GMT	https://dennissnellenberg.com/about	C:/My%20Web%20Sites/Website/dennissnellenberg.com/about.html	(from https://dennissnellenberg.com/)
11:53:58	23910/23910	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:53:57%20GMT	https://dennissnellenberg.com/contact	C:/My%20Web%20Sites/Website/dennissnellenberg.com/contact.html	(from https://dennissnellenberg.com/)
11:53:59	136455/136455	---M--	200	added ('OK')	image/jpeg	etag:%2221507-5d9ca3306ce6a%22	https://dennissnellenberg.com/assets/img/DSC07033.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/assets/img/DSC07033.jpg	(from https://dennissnellenberg.com/)
11:54:00	27700/27700	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:54:00%20GMT	https://dennissnellenberg.com/work/future-goals	C:/My%20Web%20Sites/Website/dennissnellenberg.com/work/future-goals.html	(from https://dennissnellenberg.com/)
11:54:01	26547/26547	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:54:01%20GMT	https://dennissnellenberg.com/work/chainn	C:/My%20Web%20Sites/Website/dennissnellenberg.com/work/chainn.html	(from https://dennissnellenberg.com/)
11:54:02	26177/26177	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:54:02%20GMT	https://dennissnellenberg.com/work/atypikal	C:/My%20Web%20Sites/Website/dennissnellenberg.com/work/atypikal.html	(from https://dennissnellenberg.com/)
11:54:04	27342/27342	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2010:54:03%20GMT	https://dennissnellenberg.com/work/micdrop-agency	C:/My%20Web%20Sites/Website/dennissnellenberg.com/work/micdrop-agency.html	(from https://dennissnellenberg.com/)
11:54:06	296792/296792	---M--	200	added ('OK')	image/jpeg	etag:%2248758-5df727d351724%22	https://dennissnellenberg.com/media/pages/work/future-goals/3eafae1c56-1653057688/thumbnail-futuregoals.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/future-goals/3eafae1c56-1653057688/thumbnail-futuregoals.jpg	(from https://dennissnellenberg.com/)
11:54:06	138684/138684	---M--	200	added ('OK')	image/jpeg	etag:%2221dbc-5df72617a9d13%22	https://dennissnellenberg.com/media/pages/work/chainn/3b2965a4d4-1646837292/thumbnail-chainn.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/chainn/3b2965a4d4-1646837292/thumbnail-chainn.jpg	(from https://dennissnellenberg.com/)
11:54:07	171907/171907	---M--	200	added ('OK')	image/jpeg	etag:%2229f83-5df727d351ef4%22	https://dennissnellenberg.com/media/pages/work/atypikal/772a7bc7f2-1646837277/thumbnail-atypikal.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/atypikal/772a7bc7f2-1646837277/thumbnail-atypikal.jpg	(from https://dennissnellenberg.com/)
11:54:08	84902/84902	---M--	200	added ('OK')	image/jpeg	etag:%2214ba6-5df727d3526c4%22	https://dennissnellenberg.com/media/pages/work/micdrop-agency/f49041aa3c-1646837247/thumbnail-micdrop.jpg	C:/My%20Web%20Sites/Website/dennissnellenberg.com/media/pages/work/micdrop-agency/f49041aa3c-1646837247/thumbnail-micdrop.jpg	(from https://dennissnellenberg.com/)
